#HJD          dMag   Err    Fil
2456874.70275 1.1653 0.0021 I 
2456874.70288 1.1509 0.0022 I 
2456874.70302 1.1408 0.0022 I 
2456874.70316 1.1598 0.0022 I 
2456874.70330 1.1544 0.0022 I 
2456874.70344 1.1503 0.0022 I 
2456874.70358 1.1463 0.0021 I 
2456874.70371 1.1369 0.0022 I 
2456874.70385 1.1474 0.0022 I 
2456874.70399 1.1551 0.0021 I 
2456874.70413 1.1457 0.0022 I 
2456874.70427 1.1618 0.0022 I 
2456874.70441 1.1584 0.0021 I 
2456874.70455 1.1506 0.0021 I 
2456874.70469 1.1550 0.0021 I 
2456874.70482 1.1495 0.0022 I 
2456874.70496 1.1479 0.0023 I 
2456874.70510 1.1538 0.0024 I 
2456874.70524 1.1664 0.0023 I 
2456874.70538 1.1472 0.0022 I 
2456874.70552 1.1423 0.0021 I 
2456874.70566 1.1465 0.0022 I 
2456874.70579 1.1440 0.0022 I 
2456874.70593 1.1476 0.0023 I 
2456874.70607 1.1480 0.0022 I 
2456874.70621 1.1622 0.0023 I 
2456874.70635 1.1602 0.0022 I 
2456874.70649 1.1495 0.0022 I 
2456874.70664 1.1560 0.0023 I 
2456874.70677 1.1430 0.0022 I 
2456874.70691 1.1492 0.0021 I 
2456874.70705 1.1395 0.0022 I 
2456874.70719 1.1497 0.0022 I 
2456874.70733 1.1570 0.0022 I 
2456874.70747 1.1558 0.0023 I 
2456874.70761 1.1540 0.0023 I 
2456874.70775 1.1520 0.0023 I 
2456874.70788 1.1510 0.0022 I 
2456874.70802 1.1460 0.0022 I 
2456874.70816 1.1556 0.0023 I 
2456874.70830 1.1505 0.0023 I 
2456874.70844 1.1519 0.0023 I 
2456874.70858 1.1388 0.0023 I 
2456874.70871 1.1592 0.0027 I 
2456874.70885 1.1498 0.0023 I 
2456874.70899 1.1455 0.0022 I 
2456874.70913 1.1423 0.0023 I 
2456874.70927 1.1525 0.0022 I 
2456874.70941 1.1377 0.0022 I 
2456874.70955 1.1466 0.0022 I 
2456874.70968 1.1563 0.0023 I 
2456874.70982 1.1548 0.0023 I 
2456874.70996 1.1556 0.0024 I 
2456874.71010 1.1575 0.0024 I 
2456874.71024 1.1421 0.0024 I 
2456874.71038 1.1420 0.0023 I 
2456874.71051 1.1492 0.0022 I 
2456874.71065 1.1557 0.0022 I 
2456874.71079 1.1448 0.0022 I 
2456874.71093 1.1502 0.0022 I 
2456874.71107 1.1586 0.0022 I 
2456874.71121 1.1447 0.0022 I 
2456874.71134 1.1438 0.0022 I 
2456874.71148 1.1434 0.0022 I 
2456874.71162 1.1304 0.0022 I 
2456874.71176 1.1483 0.0022 I 
2456874.71190 1.1420 0.0022 I 
2456874.71204 1.1480 0.0022 I 
2456874.71218 1.1601 0.0023 I 
2456874.71232 1.1611 0.0022 I 
2456874.71245 1.1511 0.0022 I 
2456874.71259 1.1345 0.0022 I 
2456874.71273 1.1384 0.0021 I 
2456874.71287 1.1494 0.0022 I 
2456874.71301 1.1412 0.0022 I 
2456874.71315 1.1516 0.0022 I 
2456874.71328 1.1480 0.0023 I 
2456874.71342 1.1447 0.0024 I 
2456874.71355 1.1544 0.0023 I 
2456874.71369 1.1504 0.0022 I 
2456874.71383 1.1534 0.0022 I 
2456874.71397 1.1436 0.0022 I 
2456874.71410 1.1527 0.0022 I 
2456874.71424 1.1309 0.0022 I 
2456874.71438 1.1478 0.0022 I 
2456874.71452 1.1457 0.0022 I 
2456874.71466 1.1444 0.0023 I 
2456874.71479 1.1450 0.0023 I 
2456874.71493 1.1476 0.0022 I 
2456874.71507 1.1464 0.0022 I 
